texts,audio,labels
0,"Here's what I believe: Britain succeeds when working people succeed. But that's not the way it's been over the last five years.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/1.wav,1
1,"For five years, wages haven't kept up with bills.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/2.wav,0
2,"For five years, the NHS has been going backwards.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/3.wav,0
3,"For five years, our young people have been fearing of having a worse life than their parents.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/4.wav,0
4,"It doesn't have to be this way.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/5.wav,1
5,"If I'm Prime Minister, I'll raise the minimum wage to pounds 8 an hour, and ban exploitative zero-hours contracts so I'll reward hard work again in our country.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/6.wav,0
6,"If I'm Prime Minister, I'll rescue our NHS, hiring more doctors and nurses.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/7.wav,0
7,"if I'm Prime Minister, I'll build a future for all of our young people, saying to our young people: ""If you get the grades get an apprenticeship,"" and cutting the tuition fees from pounds 9000 to pounds 6000
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/8.wav,0
8,"I will cut the deficit every year and balance the books.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/9.wav,0
9,"Some people'll tell you tonight: ""This is as good as it gets for Britain.""
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/10.wav,0
10,"I say: ""Britain could do so much better than it's done over the last 5 years.""
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/11.wav,1
11,"Johnny, we'll cut the deficit every year and as I said in the opening we will balance the books, but we'll do it in a fairer and better way than it's been tried over the last 5 years.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/12.wav,0
12,"David Cameron promised to eliminate the deficit and he failed
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/13.wav,0
13,"So what we'll do is, first of all we'll have fair taxes, so we'll reverse the tax cut that he gave to millionaires, pounds 43000 to every millionaire in Britain;
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/14.wav,0
14,"secondly we will have common sense spending reductions, so outside key areas like education and health spending will fall;
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/15.wav,0
15,"but thirdly we'll do something else:
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/16.wav,0
16,"because your living standards have fallen over the past five years, and it hasn't just been bad for working people,
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/17.wav,0
17,"it's also meant the government hasn't had the tax revenues coming in, that's why this government failed on the deficit.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/18.wav,0
18,"So what we'll do is by boosting living standards, that's the third part of a plan, to live within our means, get the deficit down and balance the books
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/19.wav,0
19,"It's a fair way, it's a better way, for our country.
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/20.wav,1
20,"I think not the first time tonight David Cameron hasn't wanted to talk about the past but he doesn't want to talk about the future
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/21.wav,0
21,"but David you just said that you were tackling tax avoidance
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/22.wav,0
22,"Let's look at the reality on this: you haven't acted on the tax havens, you haven't acted on the hedge funds,
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/23.wav,0
23,"will you show how you can raise over pounds 1 billion as well as about pounds 2.5bn Time to Care Fund for the NHS
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/24.wav,0
24,"it'll hire 20000 more nurses, 8000 more doctors, 5000 more careworkers, and 3000 more midwives
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/25.wav,0
25,"now, you have to ask yourself at home, why won't David Cameron act on those hedge funds? they fund his party
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/26.wav,0
26,"You're gonna hear all the scaremongering tonight, from Nick Clegg and from David Cameron
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/27.wav,0
27,"that's because they're scared that you're gonna kick them out
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/28.wav,0
28,"ah now look: I think is a big decision for our country
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/29.wav,1
29,"David Cameron wants to double the cuts in spending next year
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/30.wav,0
30,"at home you've got to make a decision: is that really a balanced plan?
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/31.wav,0
31,"I think that would put at risk the NHS which is gone backwards under David Cameron
",/mnt/c/users/evacantin/desktop/MASTER/HAIA/UKDebates/dataset/audio/Miliband/32.wav,1
