Texto,labels,predicted_label
We got to take a look at what I was left when I became president and what Mr. Trump left me.,,0
We had an economy that was in free fall.,,0
The pandemic was so badly handled.,,0
Many people were dying.,,1
"All he said was, it's not that serious.",,0
Just inject a little bleach into your arm.,,0
You'll be all right.,,0
The economy collapsed.,,1
There were no jobs.,,0
Unemployment rate rose to 15%.,,0
It was terrible.,,0
And so what we had to do is try to put things back together again.,,0
That's exactly what we began to do.,,0
"We created 15,000 new jobs.",,0
"We brought out another position where we have 800,000 new manufacturing jobs.",,0
But there's more to be done.,,0
There's more to be done.,,0
Working class people are still in trouble.,,0
"I come from Scranton, Pennsylvania.",,0
I come of household.,,0
We're at a kitchen table.,,0
"If things weren't able to be met during the month, it was a problem.",,0
"Price of eggs, the price of gas, the price of housing, the price of a whole range of things.",,0
That's why I'm working so hard to make sure I deal with those problems and we're going to make sure that we reduce the price of housing.,,0
We're going to make sure we build 2 million new units.,,0
We're going to make sure we cap rents so corporate greed can't take over.,,0
The combination of what I was left with in corporate greed is the reason why we're in this problem right now.,,0
"In addition to that, we're in a situation where if you take a look at all that was done in his administration,  He didn't do much at all.",,0
"By the time he left, there were things were in chaos, literally chaos.",,1
And so we put things back together.,,0
"We created, I said, those jobs.",,0
"We make sure we had a situation where we now we brought down the price of prescription drugs, which is a major issue for many people to $15 for for a insulin shot as opposed to $400.",,0
"No senior has to pay more than $200 for any drug, all the drugs they can include beginning next year.",,0
"And the situation is making, and we're going to make that available to everybody, to all Americans.",,0
"So we're working to bring down the price around the kitchen table, and that's what we're going to get done.",,0
Thank you.,,0
President Trump?,,0
We had the greatest economy in the history of our country.,,0
We have never done so well.,,0
Everybody was amazed by it.,,0
Other countries were copying us.,,0
We got hit with COVID.,,0
"And when we did, we spent the money necessary so we wouldn't end up in a Great Depression, the likes of which we had in 1929.  by the time we finished, so we did a great job.",,0
"We got a lot of credit for the economy, a lot of credit for the military, and no wars and so many other things.",,0
Everything was rocking good.,,0
But the thing we never got the credit for and we should have is getting us out of that COVID mess.,,0
He created mandates.,,0
That was a disaster for our country.,,0
"But other than that, we had given them back a country where the stock market actually was higher than pre-COVID, and nobody thought that was even possible.",,0
"The only jobs he created are for illegal immigrants and bounce back jobs, a bounce back from the COVID.",,0
He has not done a good job.,,0
He's done a poor job.,,0
And inflation is killing our country.,,1
It is absolutely killing us.,,1
" Well, look, the greatest economy in the world, he's the only one who thinks that, I think.",,1
I don't know anybody else who thinks he had the greatest economy in the world.,,0
"And, you know, the fact of the matter is that we plant ourselves in a situation where his economy, he rewarded the wealthy.",,0
"He had the largest tax cut in American history, $2 trillion.",,0
He raised a deficit larger than any president has in any one term.,,0
"He's the only president other than Herbert Hoover who's lost more jobs than he had when he began, since Herbert Hoover.",,1
"The idea that he did something that was significant, and the military, you know, when he was president, they were still killing people in Afghanistan.",,0
He didn't do anything about that.,,0
"When he was president, we were still finding ourselves in a position where you had a notion that we were this safe country.",,0
"The truth is, I'm the only president this century  that doesn't have any, this decade, that doesn't have any troops dying anywhere in the world like he did.",,0
Am I allowed to respond to him?,,0
" not going to drive them higher it's just going to cause countries that have been ripping us off for years like china and many others in all fairness to china it's going to just force them to pay us a lot of money reduce our deficit tremendously and give us a lot of power for other things but he would he made a statement the only thing he was right about is i gave you the largest tax cut in history i also gave you the largest regulation cut in history that's why we had all the jobs  and the jobs went down and then they bounced back and he's taking credit for bounce back jobs you can't do that he also said he inherited nine percent inflation now he inherited almost no inflation and it stayed that way for 14 months and then it blew up under his leadership because they spent money like  a bunch of people that didn't know what they were doing, and they don't know what they were doing.",,0
"It was the worst, probably the worst administration in history.",,0
There's never been.,,0
"And as far as Afghanistan is concerned, I was getting out of Afghanistan, but we were getting out with dignity, with strength, with power.",,0
He got out.,,0
It was the most embarrassing day in the history of our country's life.,,1
 Because the tax cuts spurred the greatest economy that we've ever seen just prior to COVID.,,0
"And even after COVID, it was so strong that we were able to get through COVID much better than just about any other country.",,0
"But we spurred, that tax spurred.",,0
"Now, when we cut the taxes, as an example, the corporate tax was cut down to 21% from 39%, plus beyond that.",,0
"We took in more revenue with much less tax, and companies were bringing back trillions of dollars back into our country.",,0
"The country was going like never before, and we were ready to start paying down debt.",,0
"We were ready to start using the liquid gold right under our feet, the oil and gas right under our feet.",,0
We were going to have something that nobody else has had.,,0
We got hit with COVID.,,0
We did a lot to fix it.,,0
I gave him an unbelievable situation with all of the therapeutics and all of the things that we came up with.,,0
We gave him something great.,,0
"Remember, more people died under his administration, even though we had largely fixed it.",,0
"More people died under his administration than our administration, and we were right in the middle of it, something which a lot of people don't like to talk about.",,0
But he had far more people dying in his administration.,,1
"He did the mandate, which is a disaster, mandating it.",,0
The vaccine went out.,,0
"He did a mandate on the vaccine, which is the thing that people most objected to about the vaccine.",,0
"and he did a very poor job just a very poor job and i will tell you not only poor there but throughout the entire world we're no longer respected as a country they don't respect our leadership they don't respect the united states anymore we're like a third world nation between weaponization of his election trying to go after his political opponent all of the things he's done we've become like a third world nation and it's a shame the damage he's done to our country  And I'd love to ask him and will why he allowed millions of people to come in here from prisons, jails and mental institutions to come into our country and destroy our country.",,1
" He had the largest national debt of any president in a four-year period, number one.",,0
"Number two, that $2 trillion tax cut benefited the very wealthy.",,0
What I'm going to do is fix the tax system.,,0
"For example, we have 1,000 billionaires in America.",,0
And what's happening?,,0
"They're in a situation where they, in fact, pay 8.2% in taxes.",,0
"If they just paid 24% or 25%, either one of those numbers, they'd raise $500 million, billion dollars, I should say, in a 10-year period.",,0
We'd be able to wipe out his debt.,,0
"We'd be able to help make sure that all those things we need to do, childcare, elder care, making sure that we continue to strengthen our healthcare system, making sure that we're able to make every single solitary person  eligible for what I've been able to do with the COVID, excuse me, with dealing with everything we have to do with, look, if we finally beat Medicare.",,0
" Well, he's right.",,0
He did beat Medicare.,,0
"He beat it to death, and he's destroying Medicare because all of these people are coming in.",,0
They're putting them on Medicare.,,0
They're putting them on Social Security.,,0
They're going to destroy Social Security.,,0
This man is going to single-handedly destroy Social Security.,,0
These millions and millions of people coming in  They're trying to put them on Social Security.,,0
He will wipe out Social Security.,,0
He will wipe out Medicare.,,0
"So he was right in the way he finished that sentence, and it's a shame.",,0
What's happened to our country in the last four years is not to be believed.,,0
"Foreign countries, I'm friends with a lot of people, they cannot believe what happened to the United States of America.",,0
We're no longer respected.,,0
They don't like us.,,0
"We give them everything they want, and they think we're stupid.",,0
They think we're very stupid people.,,1
"What we're doing for other countries, and they do nothing for us.",,0
What this man has done is absolutely criminal.,,0
" First of all, the Supreme Court just approved the abortion bill.",,0
And I agree with their decision to have done that.,,0
And I will not block it.,,0
"And if you look at this whole question that you're asking, complex but not really complex, 51 years ago,  You had Roe v. Wade, and everybody wanted to get it back to the states.",,0
"Everybody, without exception.",,0
"Democrats, Republicans, liberals, conservatives.",,0
Everybody wanted it back.,,0
Religious leaders.,,0
"And what I did is I put three great Supreme Court justices on the court, and they happened to vote in favor of killing Roe v. Wade and moving it back to the states.",,0
This is something that everybody wanted.,,0
"now 10 years ago or so they started talking about how many weeks and how many this getting into other things but every legal scholar throughout the world the most respected wanted it brought back to the states i did that now the states are working it out if you look at ohio it was a decision that was it was a an end result that was a little bit more liberal than you would have thought  Kansas, I would say the same thing.",,0
Texas is different.,,0
Florida is different.,,0
But they're all making their own decisions right now.,,0
"And right now, the states control it.",,0
That's the vote of the people.,,1
"Like Ronald Reagan, I believe in the exceptions.",,0
I am a person that believes.,,0
"And frankly, I think it's important to believe in the exceptions.",,0
"Some people, you have to follow your heart.",,0
Some people don't believe in that.,,0
"But I believe in the exceptions for rape, incest and the life of the mother.",,0
I think it's very important.,,0
"Some people don't follow your heart, but you have to get elected also.",,0
"And because that has to do with other things, you got to get elected.",,0
"The problem they have is they're radical because they will take the life of a child in the eighth month, the ninth month and even after birth.",,0
"After birth, if you look at the former governor of Virginia,  He was willing to do this.",,0
"He said, we'll put the baby aside and we'll determine what we do with the baby, meaning we'll kill the baby.",,0
What happened is we brought it back to the states and the country is now coming together on this issue.,,0
It's been a great thing.,,0
Thank you.,,0
President Biden?,,0
"It's been a terrible thing, what you've done.",,0
The fact is that the vast majority of constitutional scholars supported Roe when it was decided.,,0
Supported Roe.,,0
And that's this idea that they're all against it.,,0
It's just ridiculous.,,1
And this is the guy who says the state should be able to have it.,,0
"We're in a state where in six weeks, you don't even know whether you're pregnant or not, but you cannot see a doctor and have him decide on what your circumstances are, whether you need help.",,0
"The idea that states are able to do this is a little like saying, we're going to turn civil rights back to the states.",,0
Let each state have a different rule.,,0
"Look, there's so many young women who have been, including a young woman who just was murdered, and he went to the funeral.",,1
"And the idea that she was murdered by an immigrant coming in, they talk about that.",,0
But here's the deal.,,0
"There's a lot of young women to be raped by their in-laws, by their spouses.",,0
brothers and sisters by just it's just ridiculous and they can do nothing about it and they try to arrest them when they cross state lines.,,1
 There have been many young women murdered by the same people he allows to come across our border.,,1
We have a border that's the most dangerous place anywhere in the world.,,0
Considered the most dangerous place anywhere in the world.,,0
"And he opened it up, and these killers are coming into our country.",,0
And they are raping and killing women.,,1
And it's a terrible thing.,,0
"As far as the abortion is concerned, it is now back with the states.",,0
The states are voting.,,1
"In many cases, it's frankly a very liberal decision.",,0
"In many cases, it's the opposite.",,0
