Texto,Etiqueta
And there are other ways of squeezing this budget without constantly picking on our senior citizens and the most vulnerable in American life.,0
"And you let those people go with the guidelines of overall policy, not looking over their shoulder and nitpicking the manner in which they go at the job.",0
"In mine, I happen to believe in the people and believe that the people are supposed to be dominant in our society -- that they, not government, are to have control of their own affairs to the greatest extent possible, with an orderly society.",1
That's why faith in the United States is pure and unpolluted by the intervention of politicians.,0
"They know that these toxic waste dumps should have been cleaned up a long time ago, and they know that people's lives and health are being risked, because we've had an administration that has been totally insensitive to the law and the demand for the protection of the environment.",0
"And when people vote, I think you're going to see a very strong verdict by the American people that they favor the approach that I'm talking about.",1
The American people want arms control.,1
"The American people see this debt, and they know it's got to come down.",1
"Crime has come down the last 2 years, for the first time in many, many decades that it has come down -- or since we've kept records -- 2 consecutive years, and last year it came down the biggest drop in crime that we've had. I think that we've had something to do with that, just as we have with the drug problem nationwide.",3
"In California, sometime ago, a man beat a woman so savagely that her unborn child was born dead with a fractured skull, and the California State Legislature unanimously passed a law that was signed by the then-Democratic Governor -- signed a law that said that any man who so abuses a pregnant woman that he causes the death of her unborn child shall be charged with murder.",0
I have believed that in the appointment of judges that all that was specified in the party platform was that they respect the sanctity of human life.,5
"Well, the other day, Vice President Bush disclosed his tax returns to the American people. He's one of the wealthiest Americans, and he's our Vice President. In 1981 I think he paid about 40 percent in taxes. In 1983, as a result of these tax preferences, he paid a little over 12 percent, 12.8 percent in taxes. That meant that he paid a lower percent in taxes than the janitor who cleaned up his office or the chauffeur who drives him to work.",2
"There's another part of the lopsided economy that we're in today, and that is that these heavy deficits have killed exports and are swamping the Nation with cheap imports.",0
It's ruining us in trade.,0
"Everybody -- every economist, every businessman -- believes that. Every chairman of the Finance and Ways and Means Committee, Republican leaders in the Senate and the House are telling you that. That deficit is ruining the long-term hopes for this economy.",1
It was once called voodoo economics.,0
And that is the continued discussion and claim that somehow I am the villain who is going to pull the Social Security checks out from those people who are dependent on them.,0
That's what the economists tell us.,1
"President Kennedy once said in response to similar arguments, ""We are great, but we can be greater.''",5
"America is a fair society, and it is not right that Vice President Bush pays less in taxes than the janitor who helps him.",2
"I never, ever conceived of such a thing. I never said any such thing.",0
"But because the leadership of this government did not pursue wise policies, we have been humiliated, and our opponents are stronger.",3
I believe that many of the things they have done are evil in any concept of morality that we have.,0
"The Soviet Union has been engaged in the biggest military buildup in the history of man at the same time that we tried the policy of unilateral disarmament, of weakness, if you will.",0
"They are a tough and a ruthless adversary, and we must be prepared to meet that challenge, and I would.",0
And he has a record of weakness with regard to our national defense that is second to none.,0
The plane wasn't flying the way it was supposed to be; it was a waste of money.,0
"We are a government by the people, and when we move, it should be for very severe and extreme reasons that serve our national interests and end up with a stronger country behind us. It is only in that way that we can persevere.",0
"I will never send troops anywhere on a mission of that kind without telling them that if somebody shoots at them, they can darn well shoot back.",0
"We are going to, as I say, we're busy trying to find the centers where these operations stem from, and retaliation will be taken.",0
"Groucho Marx said, ""Who do you believe? -- me, or your own eyes? ''",1
"In Lebanon, this President exercised American power, all right, but the management of it was such that our marines were killed, we had to leave in humiliation, the Soviet Union became stronger, terrorists became emboldened. And it was because they did not think through how power should be exercised, did not have the American public with them on a plan that worked, that we ended up the way we did.",3
"I demanded an apology from Vice President Bush because I had, instead, honored these young men, grieved for their families, and think they were wonderful Americans that honored us all.",0
This is the kind of leadership that we've had in this administration on the most deadly issue of our times.,0
"I want to quote somebody a little closer to home, Harry Truman. He said, ""The buck stops here.''",1
"And a recent book that just came out by perhaps the Nation's most respected author in this field, Strobe Talbott, called ""Deadly Gambits,'' concludes that this President has failed to master the essential details needed to command and lead us, both in terms of security and terms of arms control.",1
"There are two distinguished authors on arms control in this country -- there are many others, but two that I want to cite tonight. One is Strobe Talbott in his classic book, ""Deadly Gambits.'' The other is John Neuhaus, who's one of the most distinguished arms control specialists in our country. Both said that this administration turned down the ""walk in the woods'' agreement first, and that would have been a perfect agreement from the standpoint of the United States in Europe and our security.",1
"I am not going to exploit, for political purposes, my opponent's youth and inexperience.",2
"First of all, let me sharply disagree with the President on sharing the most advanced, the most dangerous, the most important technology in America with the Soviet Union.",0
"And the thought that we would share this with the Soviet Union is, in my opinion, a total non-STARTer.",0
"The most dangerous aspect of this proposal is, for the first time, we would delegate to computers the decision as to whether to start a war. That's dead wrong.",0
Because this ever-rising arms race madness makes both nations less secure.,0
"I said, and the Joint Chiefs of Staff agreed with me, that it was time for us to turn our research ability to seeing if we could not find this kind of defensive weapon. And suddenly somebody says, ""Oh, it's got to be up there, and it's Star Wars,'' and so forth.",1
"There wouldn't be time for a President to decide; it would be decided by these remote computers. It might be an oil fire, it might be a jet exhaust, the computer might decide it's a missile -- and off we go.",4
"This administration, by going into the Star Wars system, is going to add a dangerous new escalation.",4
Why I disagree with the MX is that it's a sitting duck.,0
"But in order to stop this arms madness, we've got to push ahead with tough negotiations that are verifiable so that we know the Soviets are agreeing and living up to their agreement.",0
Those of us who served in Vietnam looked at you as a national hero even before you were awarded the Congressional Medal of Honor.,0
"When the recession came they were like a deer caught in the headlights -- paralyzed into inaction, blinded to the suffering and pain of bankruptcies and people who were unemployed.",0
"In St. Louis, Missouri, in June of this year, Bill Clinton said this: ""America is the mockery of the world.""",0
I am here because I have in my brain and in my heart what it takes to lead America through tough times.,0
It is time for a change.,5
The lifeblood of our economy is investment.,0
"What we do is work on that budget by an aggressive program, not a painful program, so that we can start borrowing less money and getting more investment money on the street through entrepreneurs who can build factories, who will hire people, and maybe we'll start manufacturing goods here in this country again.",0
Bill Clinton's top priority is putting America back to work.,0
"But let's talk -- you know, you keep talking about trickle-down economics and all this stuff, about the worst economy since Hoover.",0
It is a bad economy. It's a tough economy.,0
"Well, we've got to re -- we've got to clean out the barn, if I may quote my boss, and start getting this investment money on the street so we can get, and encourage entrepreneurs to build factories.",0
That is absolutely outrageous.,0
That's just totally ridiculous.,0
"Our people will be glad to furnish the press, if they're interested, in Senator Gore's voting record on the Caribbean Basin Initiative.",1
"By contrast, in the nation as a whole, during the last 4 years, it is the first time since the presidency of Herbert Hoover, that we have gone for a 4-year period with fewer jobs at the end of that 4-year period than we had at the beginning.",3
"Now when I heard George Bush say at the convention in Houston, that when he heard the phrase ""we won the Cold War,"" it made him wonder who the ""we"" was.",0
"-- the military portions of our plan, even though he was the chairman of the Joint Chiefs under George Bush, and John White has endorsed the economic aspects of our plan, even though I believe he was the architect of Ross Perot's economic plan.",1
We won the Cold War because we invested in national security. We won the Cold War because we invested in our military. We won the Cold War because America had the political will and made the right decisions.,3
We won the Cold War because we invested and we went forward.,3
"Now when I heard George Bush say at the convention in Houston, that when he heard the phrase ""we won the Cold War,"" it made him wonder who the ""we"" was.",5
Bill Clinton has trouble telling the truth.,2
This issue is an issue that divides Americans deeply.,0
I was in Los Angeles recently and I talked to a woman who told me that she had an abortion when she was 17 years of age. And looking back on that she said it was a mistake.,0
"And the way to reduce them is by reducing the number of unwanted pregnancies, not vetoing family planning legislation the way George Bush has consistently done.",1
"You know, one of the reasons so many Republicans are supporting the Clinton- Gore ticket is because they've turned over the party to this right wing extremist group which takes positions on issues like abortion that don't even allow exceptions for rape and incest.",1
You wrote a letter saying that you oppose taxpayer funding of abortion. Bill Clinton has the same type of a record.,2
Bill Clinton -- Bill Clinton has trouble telling the truth. 3 words he fears most in the English language.,2
He knows all of the little stinky numbers these guys do.,0
"This election is about the future of our country, not about personal attacks against one candidate or another.",0
I think that he insulted the intelligence of the American people and I'm awful proud that the American people rejected that tactic so overwhelmingly that he decided he had made a mistake.,0
"Three weeks from today, our nation will make a fateful decision.",0
"Give us a chance. With your help, we'll change this country and we can't wait to get started.",0
I think of a woman in Chicago when I was talking to parents about education where she stood up and said I'm sick and tired of these schools in this city being nothing but a factory for failure.,0
And is it a negative attack and a personal attack to point out that Bill Clinton simply has trouble telling the truth?,2
"I think it will depend in great measure upon what we do here in the United States, on the kind of society that we build, on the kind of strength that we maintain.",0
But they are important and dangerous now because they are mounting a major effort within their own country.,0
"The kind of country we have here, the kind of society we have, the kind of strength we build in the United States will be the defense of freedom.",0
"I should make it very clear that I do not think we're doing enough, that I am not satisfied as an American with the progress that we're making.",0
"This is a great country, but I think it could be a greater country; and this is a powerful country, but I think it could be a more powerful country.",0
"I'm not satisfied when we have over nine billion dollars worth of food - some of it rotting - even though there is a hungry world, and even though four million Americans wait every month for a food package from the government, which averages five cents a day per individual.",0
"I saw cases in West Virginia, here in the United States, where children took home part of their school lunch in order to feed their families because I don't think we're meeting our obligations toward these Americans.",0
And I think that's the only way that the United States is going to maintain its freedom.,0
"I want people in Latin America and Africa and Asia to start to look to America; to see how we're doing things; to wonder what the resident of the United States is doing; and not to look at Khrushchev, or look at the Chinese Communists.",0
"There is no question but that this nation cannot stand still; because we are in a deadly competition, a competition not only with the men in the Kremlin, but the men in Peking.",0
"Looking then to this problem of how the United States should move ahead and where the United States is moving, I think it is well that we take the advice of a very famous campaigner: Let's look at the record.",0
"Is it true that this Administration, as Senator Kennedy has charged, has been an Administration of retreat, of defeat, of stagnation?",0
"I believe the programs that Senator Kennedy advocates will have a tendency to stifle those creative energies, I believe in other words, that his program would lead to the stagnation of the motive power that we need in this country to get progress.",0
"I could give better examples, but for - for whatever it is, whether it's in the field of housing, or health, or medical care, or schools, or the eh- development of electric power, we have programs which we believe will move America, move her forward and build on the wonderful record that we have made over these past seven and a half years.",0
I know what it means to be poor.,0
I know what it means to see people who are unemployed.,0
That shows that there's been more growth in this Administration than in its predecessor.,3
We find that your wages have gone up five times as much in the Eisenhower Administration as they did in the Truman Administration.,3
We find that the prices you pay went up five times as much in the Truman Administration as they did in the Eisenhower Administration.,3
I would only suggest that while we do not take the credit for it - I would not presume to - that since that committee has been formed the price line has been held very well within the United States.,3
"Well, because I think that if the federal government moved out of the program and withdrew its supports uh - then I think you would have complete uh - economic chaos.",0
"Well, because I think that if the federal government moved out of the program and withdrew its supports uh - then I think you would have complete uh - economic chaos.",4
"And if the agricultural economy collapses, then the economy of the rest of the United States sooner or later will collapse.",4
"So if the farmers' economy continues to decline as sharply as it has in recent years, then I think you would have a recession in the rest of the country.",4
I would say that the people now have the opportunity to evaluate his as against mine and I think both he and I are going to abide by whatever the people decide.,1
I favor higher salaries for teachers.,0
"When the federal government gets the power to pay teachers, inevitably in my opinion, it will acquire the power to set standards and to tell the teachers what to teach. I think this would be bad for the country; I think it would be bad for the teaching profession.",4
We were threatened by a veto if we passed a dollar and a quarter - it's extremely difficult with the great power that the president does to pass any bill when the president is opposed to it.,0
It was killed in the Rules Committee.,0
The reason why these particular bills in these various fields that have been mentioned were not passed was not because the President was against them; it was because the people were against them.,1
You must always remember that a president can't stop anything unless he has the people behind him.,1
"And the reason President Eisenhower's vetoes have been sustained - the reason the Congress does not send up bills to him which they think will be vetoed - is because the people and the Congress, the majority of them, know the country is behind the President.",1
"I'd like to have what 43 governors have -- the line item veto, so if the Congress can't cut, and we've got a reckless spending Congress, let the president have a shot at it by wiping out things that are pork barrel or something of that nature.",0
"I ask everybody to look at my economic ideas and 9 Nobel prize winners and over 500 economists and hundreds of business people, including a lot of Republicans said, this is the way you've got to go.",1
Our children will not see the American dream because of this debt that somebody somewhere dropped on us.,4
"-- I couldn't agree with you more, couldn't agree with you more.",0
"And I have said again and again and again let's get off mud wrestling, let's get off personalities and let's talk about jobs, health care, crime, the things that concern the American people.",0
"You know, nobody likes who shot John, but I think the first negative campaign run in this election was by Governor Clinton, and I'm not going to sit there and be a punching bag; I'm going to stand up and say, hey, listen, here's my side of it.",0
"My argument with Governor Clinton -- you can call it mud wrestling, but I think it's fair to put it in focus is -- I am deeply troubled by someone who demonstrates and organizes demonstration in a foreign land when his country's at war.",0
But the big argument I have with the governor on this is this taking different positions on different issues -- trying to be one thing to one person here that's opposing the NAFTA agreement and then for it -- what we call waffling. And I do think that you can't turn the White House into the Waffle House.,0
I've been disturbed by the tone and the tenor of this campaign.,0
"But the Washington Post ran a long editorial today saying they couldn't believe Mr. Bush was making character an issue and they said he was the greatest quote ""political chameleon"" for changing his positions of all times.",1
And I'm interested in what we can trust him to do and what you can trust me to do and what you can trust Mr. Perot to do for the next 4 years. So I think you're right and I hope the rest of the night belongs to you.,1
I'll take the pledge because I know the American people want to talk about issues and not tabloid journalism.,0
"And so I'm very proud of the way that came about and I think it's a very, very good beginning.",0
"Like Mr. Perot, I am concerned about the deficits and $150 billion is a lot of money, but it's awful hard to say we're going to go out and spend more money when we're trying to get the deficit down.",0
Our home initiative -- our home ownership initiative -- HOPE -- that passed the Congress is a good start for having people own their own homes instead of living in these deadly tenements.,0
This is not mud slinging. This is fact slinging -- a bill earlier this year.,0
"And we would target it especially in areas that have been either depressed or which have lost a lot of defense related jobs. There are 200,000 people in California, for example, who have lost their defense related jobs.",0
The facts are though -- the facts are -- the American people are hurting. These people are hurting in the inner cities.,0
And I need the help of everybody across this country to get it passed in a substantial way by the Congress.,1
"Mr. Perot wants to do the same thing. I agree with him. I mean, we agree with that.",1
"I'm not a politician, but I think I could go to Washington in a week and get everybody holding hands and get this bill signed because I talk to the Democratic leaders and they want it. I talk to the Republican leaders and they want it.",1
"That bill pays for these urban enterprise zones by asking the wealthiest Americans to pay a little more. And that's why he wants to veto it, just like he vetoed an earlier bill this year.",3
"There is a crime bill which would put more police on the street, which was killed for this session by a filibuster in the Senate, mostly be Republican senators, and I think it's a shame it didn't pass, I think it should be made the law -- but it had the Brady bill in it, the waiting period.",0
And in our country we have evolved to a point where we've put millions of innocent people in jail because you go to the poor neighborhoods and they've put bars on their windows and bars on their doors and put themselves in jail to protect the things that they acquired legitimately.,0
But don't just sit here slow dancing for 4 years doing nothing.,0
"I'm very pleased that the Fraternal Order of Police in Little Rock, Arkansas endorsed me because I think they see I'm trying to strengthen the anti-crime legislation.",1
"Right from the bottom up, the American people have got to say they want it.",1
Some of the states that have the toughest anti-gun laws have the highest levels of crime.,3
"For 38 years one party has controlled the House of Representatives, and the result, a sorry little post office that can't do anything right and a bank that has more overdrafts than all the Chase Bank and Citibank put together.",0
"And so I favor, strongly favor, term limits.",0
"I don't think there are any villains, but, boy, is the system rotten.",0
"I think the American people want it now. Every place I go I talk about it, and I think they want it done.",1
"For 38 years one party has controlled the House of Representatives, and the result, a sorry little post office that can't do anything right and a bank that has more overdrafts than all the Chase Bank and Citibank put together.",3
"And I think you get a certain arrogance, bureaucratic arrogance, if people stay there too long.",4
"If you did that you could take away the incumbents' advantage because challengers like me would have a chance to run against incumbents like him for House races and Senate races, and then the voters could make up their own mind without being subject to an unfair fight.",0
"If you did that you could take away the incumbents' advantage because challengers like me would have a chance to run against incumbents like him for House races and Senate races, and then the voters could make up their own mind without being subject to an unfair fight.",2
"I've had more people talk to me about their health care problems I guess than anything else, all across America -- you know, people who've lost their jobs, lost their businesses, had to give up their jobs because of sick children.",0
It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages. And it's a big fight.,0
The reason Medicare and Medicaid are a mess is we froze them.,3
Right this very minute we're sending supplies in to help these little starving kids in Somalia.,0
We're doing this all around the world.,0
"Russia is still very unstable; they could go back to square one, and worse.",0
The end of the Cold War brings an incredible opportunity for change.,0
"Since I became president, 43, 44 countries have gone democratic, no longer totalitarian, no longer living under dictatorship or communist rule.",3
"If we're not an economic superpower, we're a used to be and we will no longer be a force for good throughout the world.",4
"And you know, according to my mother and my wife and my daughter, this world would be a lot better place if women were running it most of the time.",1
"And I beg the American people, any time they think about reforming education to take this piece of society that doesn't have a chance and take these little pieces of clay that can be shaped and molded and give them the same love and nurture and affection and support you give your children and teach them that they're unique and that they're precious and that there's only one person in the world like them and you will see this nation bloom.",0
"Now, finally, if you can't pay the bills you're dead in the water.",0
"It happened because I could work with people -- Republicans and Democrats. That's why we've had 24 retired generals and admirals, hundreds of business people, many of them Republican, support this campaign.",1
"Nobody's been luckier than I've been, all the way across the spectrum, and the greatest riches of all are my wife and children.",0
"I talk to parents. I mean, you've got to care. Everybody cares if people aren't doing well.",0
"I see people in my state, middle class people -- their taxes have gone up in Washington and their services have gone down while the wealthy have gotten tax cuts.",0
"And I've been out here for 13 months meeting in meetings just like this ever since October, with people like you all over America, people that have lost their jobs, lost their livelihood, lost their health insurance.",0
"I remember getting my future back from doctors and nurses and a doctor in Chicago named Dr. Kalikian . And ever since that time, I've tried to give something back to my country, to the people who are watching us tonight.",0
America is the greatest place on the face of the earth.,0
"But I do think we are right when we try to, for example, give mothers and newborns 48 hours before they can be kicked out of the hospital, ending these drive-by deliveries.",0
I'm proud of the fact that America is stronger and more prosperous and more secure than we were four years ago.,0
I think of the man who grabbed me by the shoulder once with tears in his eyes and said his daughter was dying of cancer and he thanked me for giving him a chance to spend some time with her without losing his job because of the Family and Medical Leave Act.,0
"Folks, we can build that bridge to the 21st Century, big enough and strong enough for all of us to walk across, and I hope you will help me build it.",0
"We are the greatest country on the face of the earth. We do more good things for more people in our communities, our neighborhoods, than anywhere that I know of.",0
They're working harder and higher and harder paying more taxes.,0
"We ask the people that are viewing tonight, are you better off than you were four years ago.",1
"First of all, remember that in this campaign season, since Senator Dole's been a candidate, he has bragged about the fact that he voted against Medicare in the beginning, in 1965, one of only 12 members.",0
But it was simply wrong to finance their last scheme to cut Medicare $270 billion to run the risk of it withering on the vine.,0
You've already spent $45 million scaring seniors and tearing me apart.,0
"In fact, I used to go home, my mother would tell me, Bob, all I've got is my Social Security and my Medicare, don't cut it. I wouldn't violate anything my mother said. In fact, we had a conversation about our mothers one day, a very poignant conversation in the White House. I'm concerned about healthcare.",1
"It's his trustees, the President's trustees, not mine, who says it's going to go broke.",1
"But it won't be possible to do, if his tax scheme passes because even his own campaign co-chair, Senator D'Amato, says he'll have to cut Medicare even more than was cut in the bill that I vetoed.",3
"Stop scaring the seniors, Mr. President. You've already spent $45 million scaring seniors and tearing me apart. I think it's time to have a truce.",2
"He twisted arms and got six Democrats to vote the other way, but we lost by one vote.",0
"Well, here's the problem with it: It sounds very good, but there's a reason that 500 economists, including seven Nobel prize winners and business periodicals like Business Week, and even Senator Dole's friends, Senator Warren Rudman, former Republican senator from New Hampshire, says it's not a practical program.",1
"I had a person in the Oval Office who lost a child in a school bus accident where a drunk driver caused the accident directly, but there were problems with the school bus. The drunk driver had no money. Under the new bill, if I had signed it, a person like that could never have had any recovery. I thought that was wrong.",0
"So after Speaker Gingrich and Senator Dole took over the Congress, I went to New Hampshire and a man suggested -- a gentleman that unfortunately just passed away a couple of days ago, suggested that we appoint a commission. And I shook hands with him on it and I appointed my members, and the commission never met.",0
"Now, we're now kidding anybody, Mr. President. Millions and millions of Americans.",0
"You're putting a lot of business people out of business. I said that one day and Pat Moynihan, a Democrat, say, no, he said, in the history of the world. So I modified it, the largest tax increase in the history of the world.",1
They know the Republican Party hasn't done it. They know the Democratic party won't do it. We ought to agree that somebody else should do it.,1
"Secondly, Senator Dole had some pretty harsh comments about special interest money, but it wasn't me who opposed what we tried to do to save the lives of children who were subject to tobacco and then went to the tobacco growers and bragged about standing up for the Federal government when we tried to stop the advertising, marketing, and sales of tobacco to children. And it wasn't me that let the polluters actually come into the halls of Congress, into the rooms, and rewrite the environmental laws. That's what Speaker Gingrich and Senator Dole did, not me.",2
It seems to me that you have a selective memory.,2
I strongly supported it. And members of Senator Dole's own party in the Senate killed it. And he was not out there urging them to vote for the McCain-Feingold bill.,2
We have dramatically increased control and enforcement at the border.,0
"But let me remind you, my family has suffered from drug abuse. I know what it's like to see somebody you love nearly lose their lives, and I hate drugs, Senator. We need to do this together and we can.",0
You resisted the appointment of a drug czar there because you thought it might interfere with treatment.,3
"Then when we had the assault weapons ban in the Senate, Senator Dole fought it bitterly and opposed the entire crime bill and almost brought the entire crime bill down because the National Rifle Association didn't want the assault weapons ban, just like they didn't want the Brady Bill.",3
"Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election.",0
"We provide the leadership and we're going to have to continue to provide the leadership, but let's do it on our terms when our interests are involved and not when somebody blows the whistle at the United Nations.",0
"Our military is the strongest military in the world. It is the strongest, best prepared, best equipped it has ever been.",0
"I believe the United States is at peace tonight in part because of the disciplined, careful, effective deployment of our military resources.",0
"In 1992, before I became President, the Congress passed the Cuba Democracy Act and I enforced it vigorously.",0
Most people want to see their own doctor. They're going to see their own doctor when Bob Dole is president. We won't threaten anybody.,0
"So there are a lot of good things in this bill we should have done instead of trying this massive, massive takeover by the Federal government.",0
I signed a bill to stop these drive-by deliveries when insurance companies can force people out of the hospital after 24 hours and I vetoed Senator Dole's Medicare plan that would have forced a lot of seniors into managed care and taken a lot more money out of their pockets and led to Medicare withering on the vine.,0
"Prime Minister Rabin gave his life because someone in his own country literally hated him for trying to bring peace. I would like to have had a big, organized summit, but those people were killing each other, rapidly, innocent Arab children, innocent Israeli people, they were dying.",0
His running mate Jack Kemp once said that Bob Dole never met a tax he didn't hike.,1
"And everybody knows, including the Wall Street Journal, hardly a friend of the Democratic party of this administration, that the '82 tax increase he sponsored in inflation-adjusted dollars was the biggest tax increase in American history.",1
"Well, the president's own CIA director says Saddam is stronger now than he was.",1
"But, let's start with Somalia, where they dragged Americans through the streets, and where 18 Americans were killed one day, because they didn't have, they were pinned down for eight hours, the rangers.",3
"Senator Dole remembers well that we actually offered not to even put in a healthcare bill in 1994, uh '93, but instead to work with the Senate Republicans and write a joint bill. And they said no because they got a memo from one of their political advisers saying that instead they should characterize whatever we did as big government and make sure nothing was done to aid healthcare before the '94 elections so they could make that claim.",2
"But I believe America is the greatest country in human history because we have maintained freedom and increasing prosperity by relentlessly pushing the barriers of knowledge, the barriers of the present, always moving into the future.",0
"It's going to be a big, big opportunity for a lot of people.",0
Some schools aren't safe. Some schools aren't even safe. Your choice is nothing.,0
"And you know this liberal charge, that's what their party always drags out when they get in a tight race. It's sort of their golden oldie, you know.",0
The American people should make up their own mind.,0
"The American people can make up their mind about whether that's a liberal record or a record that's good for America. Liberal, conservative, you put whatever label you want on it.",1
"Go back to the time he was, what, Texas director for George McGovern. George McGovern is a friend of mine, so I don't mean, but he was a liberal, proud liberal.",1
"I wouldn't want to be a liberal either, Mr. President, but you're stuck with it because that's your record, that's your record in Arkansas: The biggest tax increase in history.",0
You're spending millions and millions of dollars in negative ads frightening senior citizens.,0
"I used to sign welfare checks for my grandparents. I know all about poverty and all about need and all about taking care of people, and that's been my career in the United States Senate.",0
"So I rolled the dice, I put my career on the line because I really believe the future of America is on the line.",0
"Republicans talk about it, but we're the first the first administration in anybody's lifetime looking at this program to bring that deficit down four years in a row.",0
"Now, remember, folks, even Senator Dole's campaign co-chair here, Senator D'Amato, says he's got to cut Medicare to pay for this.",1
"Everybody who's looked at it, 500 economists, seven Nobel prize winners, say it's bad for the economy.",1
"I remember one day on the floor I said now, gentlemen, let me tax your memories, and Kennedy jumped up and said, why haven't we thought of that before. You know, so one of your liberal friends.",1
And you folks out there are going to have to choose who you think is right.,1
"He talks about a smaller government. There are actually more people in government except for people in defense related jobs. They're gone. The government's bigger than it was when President Kennedy was around, even though he says it's not.",2
It's going to blow a hole in the deficit It's going to raise taxes on nine million people and require bigger cuts than the one I vetoed.,4
This is the greatest democracy in the world.,0
This is a democracy in which we have the freest press and the greatest First Amendment rights in the history of mankind.,0
Our education is not up to the standards that the American family and the American people want for their children.,0
"Clearly, Abraham Lincoln put it best when he said you serve your party best by serving the nation first.",5
"We ought to be very proud in our country, as most Americans are, that we've made tremendous progress, but we ought to recognize that we have more work to do.",0
"Now, I want to congratulate Mr. Kemp for being a lonely voice in the Republican party over the years on this question. It is -- it is with some sadness that I refer to the fact that the day after he joined Senator Dole's ticket, he announced that he was changing his position and was hereto, thereafter going to adopt Senator Dole's position to end all affirmative action.",0
"That when people own something, they have a stake in the American dream. That is Affirmative Action in America.",0
"With all due respect, I do not believe that Abraham Lincoln would have adopted Bob Dole's position to end all affirmative action.",1
It is a welfare system that is more like a third-world socialist country than what we would expect from the world's greatest democratic free-enterprise system.,0
The problems between races in America must be addressed.,0
