Texto,Etiqueta
I have a plan -- not a secret plan.,0.0
"As a matter of fact, it is the economic recovery program that we presented when I took office in 1981.",0.0
"It is true that earlier, working with some very prominent economists, I had come up, during the campaign, with an economic program that I thought could rectify the great problems confronting us -- the double-digit inflation, the high tax rates that I think were hurting the economy, the stagflation that we were undergoing.",0.0
"Before even the election day, something that none of those economists had even predicted had happened, that the economy was so worsened that I was openly saying that what we had thought on the basis of our plan could have brought a balanced budget -- no, that was no longer possible.",0.0
"Under that, this year, we have seen a $21 billion reduction in the deficit from last year, based mainly on the increased revenues the Government is getting without raising tax rates.",0.0
"Our tax cut, we think, was very instrumental in bringing about this economic recovery.",0.0
We have reduced inflation to about a third of what it was.,0.0
"The interest rates have come down about 9 or 10 points and, we think, must come down further.",0.0
"In the last 21 months, more than 6 million people have gotten jobs -- there have been created new jobs for those people to where there are now 105 million civilians working, where there were only 99 million before; 107, if you count the military.",0.0
"So, we believe that as we continue to reduce the level of government spending -- the increase, rate of increase in government spending, which has come down from 17 to 6 percent, and, at the same time, as the growth in the economy increases the revenues the Government gets, without raising taxes, those two lines will meet.",0.0
"And when they meet, that is a balanced budget.",0.0
The deficit is the result of excessive government spending.,0.0
"I do not, very frankly, take seriously the Congressional Budget Office projections, because they have been wrong on virtually all of them, including the fact that our recovery wasn't going to take place to begin with.",0.0
But it has taken place.,0.0
"But, as I said, we have the rate of increase in government spending down to 6 percent.",0.0
If the rate of increase in government spending can be held at 5 percent -- we're not far from there -- by 1989 that would have reduced the budget deficits down to a $30 or $40 billion level.,0.0
"At the same time, if we can have a 4-percent recovery continue through that same period of time, that will mean -- without an increase in tax rates -- that will mean $400 billion more in government revenues.",0.0
"And so, I think that the lines can meet.",0.0
"Actually, in constant dollars, in the domestic side of the budget, there has been no spending increase in the 4 years that we have been here.",0.0
One of the key tests of leadership is whether one sees clearly the nature of the problems confronted by our nation.,0.0
And perhaps the dominant domestic issue of our times is what do we do about these enormous deficits.,0.0
"I respect the President; I respect the Presidency, and I think he knows that.",0.0
"But the fact of it is, every estimate by this administration about the size of the deficit has been off by billions and billions of dollars.",0.0
"As a matter of fact, over 4 years, they've missed the mark by nearly $600 billion.",0.0
We were told we would have a balanced budget in 1983.,0.0
It was $200 billion deficit instead.,0.0
And now we have a major question facing the American people as to whether we'll deal with this deficit and get it down for the sake of a healthy recovery.,0.0
"Virtually every economic analysis that I've heard of, including the distinguished Congressional Budget Office, which is respected by, I think, almost everyone, says that even with historically high levels of economic growth, we will suffer a $263 billion deficit.",0.0
"In other words, it doesn't converge as the President suggests.",0.0
It gets larger even with growth.,0.0
What that means is that we will continue to have devastating problems with foreign trade.,0.0
This is the worst trade year in American history by far.,0.0
Our rural and farm friends will have continued devastation.,0.0
"Real interest rates -- the real cost of interest -- will remain very, very high, and many economists are predicting that we're moving into a period of very slow growth because the economy is tapering off and may be a recession.",0.0
I get it down to a level below 2 percent of gross national product with a policy that's fair.,0.0
"I've stood up and told the American people that I think it's a real problem, that it can destroy long-term economic growth, and I've told you what I think should be done.",0.0
"I think this is a test of leadership, and I think the American people know the difference.",0.0
"These people depend upon all of us for the little security that they have, and I'm not going to do it that way.",0.0
The rate of defense spending increase can be slowed.,0.0
"Certainly we can find a coffeepot that costs something less than $7,000.",0.0
And there are other ways of squeezing this budget without constantly picking on our senior citizens and the most vulnerable in American life.,1.0
"And that's why the Congress, including the Republicans, have not gone along with the President's recommendations.",0.0
Yes.,0.0
I don't believe that Mr. Mondale has a plan for balancing the budget; he has a plan for raising taxes.,0.0
"And, as a matter of fact, the biggest single tax increase in our nation's history took place 1977.",0.0
"And for the 5 years previous to our taking office, taxes doubled in the United States, and the budgets increased $318 billion.",0.0
"So, there is no ratio between taxing and balancing a budget.",0.0
"Whether you borrow the money or whether you simply tax it away from the people, you're taking the same amount of money out of the private sector, unless and until you bring down government's share of what it is taking.",0.0
"But I'm going to violate that rule and say ""never.''",0.0
I will never stand for a reduction of the Social Security benefits to the people that are now getting them.,0.0
"Well, that's exactly the commitment that was made to the American people in 1980: He would never reduce benefits.",0.0
"And of course, what happened right after the election is they proposed to cut Social Security benefits by 25 percent -- reducing the adjustment for inflation, cutting out minimum benefits for the poorest on Social Security, removing educational benefits for dependents whose widows were trying -- with widows trying to get them through college.",0.0
Everybody remembers that; people know what happened.,0.0
There's a difference.,0.0
"I have fought for Social Security and Medicare and for things to help people who are vulnerable all my life, and I will do it as President of the United States.",0.0
"Well, first of all, I think the first answer this evening suggests exactly what I'm saying.",0.0
"There is no question that we face this massive deficit, and almost everybody agrees unless we get it down, the chances for long-term, healthy growth are nil.",0.0
And it's also unfair to dump these tremendous bills on our children.,0.0
The President says it will disappear overnight because of some reason.,0.0
No one else believes that's the case.,0.0
"I do, and I'm standing up to the issue with an answer that's fair.",0.0
I think that's what leadership is all about.,0.0
"There's a difference between being a quarterback and a cheerleader, and when there's a real problem, a President must confront it.",0.0
"What I was referring to, of course, in the comment that you referred to was the situation in Lebanon.",0.0
"Now, for three occasions, one after another, our Embassies were assaulted in the same way by a truck with demolitions.",0.0
"The first time -- and I did not criticize the President, because these things can happen -- once, and sometimes twice -- the second time the barracks in Lebanon were assaulted, as we all remember.",0.0
"There was two or three commission reports, recommendations by the CIA, the State Department, and the others, and the third time there was even a warning from the terrorists themselves.",0.0
"Now, I believe that a President must command that White House and those who work for him.",0.0
"It's the toughest job on Earth, and you must master the facts and insist that things that must be done are done.",0.0
"I believe that the way in which I will approach the Presidency is what's needed, because all my life that has been the way in which I have sought to lead.",0.0
